hostname,st_teff,st_met,st_mass,st_rad,sy_dist,disc_year,discoverymethod,mission,sy_dist_ly,st_mass_kg,st_rad_m,planet_count,metallicity_class,spectral_type,last_updated
Kepler-1483,6337.0,0.04,1.25,1.4,1273.78,2016,Transit,Kepler,4154.509896799999,2.485625e+30,973979999.9999999,1,solar,F,2025-10-29 17:25:48
Kepler-462,7500.0,0.05,1.59,1.57,596.625,2016,Transit,Kepler,1945.9282349999999,3.161715e+30,1092249000.0,2,solar,F,2025-10-29 17:25:48
Kepler-1183,5765.0,0.04,1.0,0.99,1919.19,2016,Transit,Kepler,6259.553336399999,1.9885e+30,688743000.0,1,solar,G,2025-10-29 17:25:48
Kepler-1900,6173.0,-0.04,1.104,1.041,1540.43,2021,Transit,Kepler,5024.2048708,2.195304e+30,724223700.0,1,sub-solar,F,2025-10-29 17:25:48
Kepler-608,5820.0,-0.02,1.0,1.01,946.683,2016,Transit,Kepler,3087.6634054799997,1.9885e+30,702657000.0,1,sub-solar,G,2025-10-29 17:25:48
Kepler-59,6074.0,-0.2,1.04,0.94,1163.22,2012,Transit,Kepler,3793.9118232,2.06804e+30,653958000.0,2,sub-solar,F,2025-10-29 17:25:48
Kepler-193,6335.0,0.0,1.051,1.147,1009.1,2014,Transit,Kepler,3291.2401959999997,2.0899134999999998e+30,797967900.0,2,sub-solar,F,2025-10-29 17:25:48
Kepler-739,5601.0,-0.08,0.93,0.9,1370.65,2016,Transit,Kepler,4470.457214,1.8493050000000002e+30,626130000.0,1,sub-solar,G,2025-10-29 17:25:48
Kepler-888,5875.0,-0.21,0.97,0.9,420.817,2016,Transit,Kepler,1372.51989452,1.928845e+30,626130000.0,1,sub-solar,G,2025-10-29 17:25:48
Kepler-799,5588.0,0.14,1.031,1.593,1509.084,2021,Transit,Kepler,4921.9680110399995,2.0501434999999998e+30,1108250100.0,2,solar,G,2025-10-29 17:25:48
Kepler-1875,6161.0,-0.5,0.95,0.862,1660.45,2021,Transit,Kepler,5415.657302,1.889075e+30,599693400.0,1,low,F,2025-10-29 17:25:48
Kepler-1400,5044.0,0.04,0.83,0.78,752.237,2016,Transit,Kepler,2453.4661097199996,1.6504549999999998e+30,542646000.0,1,solar,K,2025-10-29 17:25:48
Kepler-1642,5355.0,-0.01,0.88,0.84,413.873,2016,Transit,Kepler,1349.8716218799998,1.74988e+30,584388000.0,2,sub-solar,G,2025-10-29 17:25:48
Kepler-125,3810.0,-0.14,0.542101,0.512,183.365,2014,Transit,Kepler,598.0559494,1.0779678385e+30,356198400.0,2,sub-solar,M,2025-10-29 17:25:48
Kepler-1855,3460.0,0.07,0.385,0.356,623.901,2021,Transit,Kepler,2034.8905455599997,7.655725e+29,247669200.0,1,solar,M,2025-10-29 17:25:48
Kepler-1752,5446.0,-0.2,0.824,0.821,962.888,2021,Transit,Kepler,3140.51698528,1.638524e+30,571169700.0,1,sub-solar,G,2025-10-29 17:25:48
Kepler-415,4362.0,0.01,0.67,0.643,530.487,2014,Transit Timing Variations,Kepler,1730.2151797199997,1.3322950000000002e+30,447335100.0,2,solar,K,2025-10-29 17:25:48
Kepler-1615,5865.0,0.06,1.04,1.05,1393.83,2016,Transit,Kepler,4546.0601748,2.06804e+30,730485000.0,1,solar,G,2025-10-29 17:25:48
Kepler-1289,6080.0,0.02,1.1,1.17,1053.57,2016,Transit,Kepler,3436.2817691999994,2.18735e+30,813969000.0,1,solar,F,2025-10-29 17:25:48
Kepler-893,5820.0,-0.03,1.0,0.99,1285.59,2016,Transit,Kepler,4193.028920399999,1.9885e+30,688743000.0,1,sub-solar,G,2025-10-29 17:25:48
Kepler-1579,4584.0,0.11,0.75,0.7,466.0,2016,Transit,Kepler,1519.8869599999998,1.491375e+30,486989999.99999994,1,solar,K,2025-10-29 17:25:48
Kepler-1351,4439.0,-0.03,0.7,0.67,202.782,2016,Transit,Kepler,661.38565992,1.39195e+30,466119000.0,1,sub-solar,K,2025-10-29 17:25:48
Kepler-8,6213.0,-0.055,1.213,1.486,1021.87,2010,Transit,Kepler,3332.8903172,2.4120505e+30,1033810200.0,1,sub-solar,F,2025-10-29 17:25:48
Kepler-1363,4839.0,-0.09,0.76,0.72,541.714,2016,Transit,Kepler,1766.83271384,1.51126e+30,500904000.0,1,sub-solar,K,2025-10-29 17:25:48
Kepler-1186,5635.0,0.0,0.95,0.93,1337.25,2016,Transit,Kepler,4361.52111,1.889075e+30,647001000.0,1,sub-solar,G,2025-10-29 17:25:48
Kepler-979,5310.0,-0.02,0.87,0.83,576.503,2016,Transit,Kepler,1880.29912468,1.7299949999999998e+30,577431000.0,1,sub-solar,G,2025-10-29 17:25:48
Kepler-382,5600.0,0.082,1.002,0.945,935.446,2014,Transit,Kepler,3051.01325576,1.992477e+30,657436500.0,2,solar,G,2025-10-29 17:25:48
Kepler-1492,4712.0,0.06,0.77,0.72,331.553,2016,Transit,Kepler,1081.38000268,1.531145e+30,500904000.0,1,solar,K,2025-10-29 17:25:48
Kepler-1568,5956.0,0.09,1.09,1.19,916.313,2016,Transit,Kepler,2988.60982828,2.167465e+30,827883000.0,1,solar,G,2025-10-29 17:25:48
Kepler-1207,5909.0,0.05,1.06,1.06,1754.19,2016,Transit,Kepler,5721.3959364,2.10781e+30,737442000.0,1,solar,G,2025-10-29 17:25:48
Kepler-1636,5797.0,0.03,1.01,1.02,1947.54,2016,Transit,Kepler,6352.0185624,2.008385e+30,709614000.0,1,solar,G,2025-10-29 17:25:48
Kepler-1822,5165.0,-0.32,0.782,0.702,897.597,2021,Transit,Kepler,2927.56647132,1.555007e+30,488381400.0,1,sub-solar,K,2025-10-29 17:25:48
Kepler-725,5395.0,0.14,0.95,0.88,758.469,2016,Transit,Kepler,2473.79215164,1.889075e+30,612216000.0,2,solar,G,2025-10-29 17:25:48
Kepler-712,5148.0,-0.03,0.84,0.78,872.493,2016,Transit,Kepler,2845.68826908,1.6703399999999998e+30,542646000.0,2,sub-solar,K,2025-10-29 17:25:48
Kepler-802,5507.0,0.06,0.93,0.9,780.585,2016,Transit,Kepler,2545.9248125999998,1.8493050000000002e+30,626130000.0,1,solar,G,2025-10-29 17:25:48
Kepler-1375,6704.0,0.09,1.47,1.78,1430.84,2016,Transit,Kepler,4666.7705104,2.923095e+30,1238346000.0,1,solar,F,2025-10-29 17:25:48
Kepler-602,6062.0,-0.02,1.08,1.13,1159.31,2016,Transit,Kepler,3781.1591235999995,2.14758e+30,786140999.9999999,1,sub-solar,F,2025-10-29 17:25:48
Kepler-155,4508.0,-0.142,0.635,0.62,293.499,2014,Transit,Kepler,957.26459844,1.2626975e+30,431334000.0,2,sub-solar,K,2025-10-29 17:25:48
Kepler-178,5676.0,-0.04,0.852,1.066,716.025,2014,Transit,Kepler,2335.358499,1.694202e+30,741616200.0,3,sub-solar,G,2025-10-29 17:25:48
Kepler-107,5854.0,0.321,1.238,1.447,525.997,2014,Transit,Kepler,1715.5707753199997,2.4617629999999998e+30,1006677900.0,4,solar,G,2025-10-29 17:25:48
Kepler-439,5431.0,0.02,0.884,0.866,757.048,2015,Transit,Kepler,2469.15747488,1.757834e+30,602476200.0,1,solar,G,2025-10-29 17:25:48
Kepler-1348,5911.0,-0.01,1.04,1.04,1213.82,2016,Transit,Kepler,3958.9467591999996,2.06804e+30,723528000.0,1,sub-solar,G,2025-10-29 17:25:48
Kepler-1117,5612.0,0.03,0.95,0.93,568.487,2016,Transit,Kepler,1854.1544597199997,1.889075e+30,647001000.0,1,solar,G,2025-10-29 17:25:48
Kepler-1604,4976.0,0.02,0.81,0.76,541.189,2016,Transit,Kepler,1765.1203948399998,1.610685e+30,528732000.0,1,solar,K,2025-10-29 17:25:48
Kepler-984,5610.0,0.04,0.96,0.93,460.188,2016,Transit,Kepler,1500.9307732799998,1.90896e+30,647001000.0,1,solar,G,2025-10-29 17:25:48
Kepler-1491,5626.0,0.14,0.991,1.389,2065.59,2023,Transit,Kepler,6737.0457204,1.9706035e+30,966327300.0,2,solar,G,2025-10-29 17:25:48
Kepler-1758,5557.0,0.16,1.035,1.616,1588.41,2021,Transit,Kepler,5180.6945196,2.0580974999999997e+30,1124251200.0,1,solar,G,2025-10-29 17:25:48
Kepler-1158,6203.0,0.18,1.41,1.95,1484.25,2016,Transit,Kepler,4840.970429999999,2.803785e+30,1356615000.0,1,solar,F,2025-10-29 17:25:48
Kepler-632,5322.0,0.11,0.91,0.84,349.0,2016,Transit,Kepler,1138.28444,1.8095350000000002e+30,584388000.0,1,solar,G,2025-10-29 17:25:48
Kepler-57,5187.9,0.1166,0.859,0.826,644.14,2012,Transit,Kepler,2100.9012583999997,1.7081215e+30,574648200.0,2,solar,K,2025-10-29 17:25:48
Kepler-461,5634.0,0.04,0.98,0.91,692.158,2016,Transit,Kepler,2257.51484648,1.94873e+30,633087000.0,1,solar,G,2025-10-29 17:25:48
Kepler-1956,4391.0,0.04,0.671,0.682,360.468,2021,Transit,Kepler,1175.68801008,1.3342835e+30,474467400.00000006,1,solar,K,2025-10-29 17:25:48
Kepler-1098,5794.0,-0.02,0.99,0.99,1049.19,2016,Transit,Kepler,3421.9961364,1.968615e+30,688743000.0,1,sub-solar,G,2025-10-29 17:25:48
Kepler-565,5735.0,-0.02,0.98,0.95,1041.0,2016,Transit,Kepler,3395.2839599999998,1.94873e+30,660915000.0,1,sub-solar,G,2025-10-29 17:25:48
Kepler-750,6160.0,0.03,1.15,1.23,1296.02,2016,Transit,Kepler,4227.0469912,2.2867749999999999e+30,855711000.0,2,solar,F,2025-10-29 17:25:48
Kepler-1255,6018.0,0.02,1.08,1.12,1617.07,2016,Transit,Kepler,5274.170829199999,2.14758e+30,779184000.0000001,1,solar,F,2025-10-29 17:25:48
Kepler-1742,5776.0,-0.18,0.939,0.849,669.573,2021,Transit,Kepler,2183.8525138799996,1.8672014999999998e+30,590649300.0,1,sub-solar,G,2025-10-29 17:25:48
Kepler-1736,6085.0,-0.28,0.976,0.973,1430.0,2021,Transit,Kepler,4664.0307999999995,1.940776e+30,676916100.0,1,sub-solar,F,2025-10-29 17:25:48
Kepler-1888,5557.0,0.0,0.897,1.249,402.947,2021,Transit,Kepler,1314.23581732,1.7836845e+30,868929300.0000001,1,sub-solar,G,2025-10-29 17:25:48
Kepler-568,3768.0,0.11,0.55,0.53,130.645,2016,Transit,Kepler,426.1065062,1.093675e+30,368721000.0,1,solar,M,2025-10-29 17:25:48
Kepler-1611,5605.0,0.01,0.94,0.93,908.444,2016,Transit,Kepler,2962.94461264,1.86919e+30,647001000.0,1,solar,G,2025-10-29 17:25:48
Kepler-1409,5160.0,-0.03,0.83,0.79,694.89,2016,Transit,Kepler,2266.4254284,1.6504549999999998e+30,549603000.0,1,sub-solar,K,2025-10-29 17:25:48
Kepler-1923,5881.0,0.16,1.109,1.294,990.838,2021,Transit,Kepler,3231.67758728,2.2052465e+30,900235800.0,1,solar,G,2025-10-29 17:25:48
Kepler-1017,5473.0,0.04,0.93,0.87,552.058,2016,Transit,Kepler,1800.5702904799998,1.8493050000000002e+30,605259000.0,1,solar,G,2025-10-29 17:25:48
Kepler-467,5809.0,0.06,1.05,1.37,466.265,2016,Transit,Kepler,1520.7512734,2.087925e+30,953109000.0000001,1,solar,G,2025-10-29 17:25:48
Kepler-1208,5001.0,-0.03,0.8,0.76,825.176,2016,Transit,Kepler,2691.36103456,1.5908e+30,528732000.0,1,sub-solar,K,2025-10-29 17:25:48
Kepler-499,5312.0,0.0,0.87,0.83,556.726,2016,Transit,Kepler,1815.7952525599999,1.7299949999999998e+30,577431000.0,1,sub-solar,G,2025-10-29 17:25:48
Kepler-45,3820.0,0.28,0.59,0.55,381.949,2011,Transit,Kepler,1245.74958044,1.173215e+30,382635000.00000006,1,solar,M,2025-10-29 17:25:48
Kepler-1364,6805.0,0.04,1.49,1.79,1056.9,2016,Transit,Kepler,3447.142764,2.962865e+30,1245303000.0,1,solar,F,2025-10-29 17:25:48
Kepler-964,5427.0,0.03,0.93,0.84,454.626,2016,Transit,Kepler,1482.7899765599998,1.8493050000000002e+30,584388000.0,1,solar,G,2025-10-29 17:25:48
Kepler-1097,5211.0,-0.11,0.82,0.79,719.802,2016,Transit,Kepler,2347.6774111199998,1.6305699999999998e+30,549603000.0,1,sub-solar,G,2025-10-29 17:25:48
Kepler-93,5669.0,-0.18,0.911,0.919,95.9115,2014,Transit,Kepler,312.82111194,1.8115235e+30,639348300.0,1,sub-solar,G,2025-10-29 17:25:48
Kepler-1078,5612.0,-0.01,0.94,0.92,2481.71,2016,Transit,Kepler,8094.246067599999,1.86919e+30,640044000.0,1,sub-solar,G,2025-10-29 17:25:48
Kepler-596,6267.0,0.03,1.21,1.32,1023.85,2016,Transit,Kepler,3339.3482059999997,2.406085e+30,918324000.0,1,solar,F,2025-10-29 17:25:48
Kepler-1452,6101.0,0.14,1.41,2.06,996.32,2016,Transit,Kepler,3249.5574592,2.803785e+30,1433142000.0,1,solar,F,2025-10-29 17:25:48
Kepler-1757,5288.0,-0.24,0.828,0.74,807.308,2021,Transit,Kepler,2633.0834804799997,1.646478e+30,514818000.0,1,sub-solar,G,2025-10-29 17:25:48
Kepler-1055,5723.0,-0.02,0.98,0.94,389.397,2016,Transit,Kepler,1270.04167932,1.94873e+30,653958000.0,1,sub-solar,G,2025-10-29 17:25:48
Kepler-1109,5893.0,0.04,1.05,1.06,685.087,2016,Transit,Kepler,2234.45235572,2.087925e+30,737442000.0,1,solar,G,2025-10-29 17:25:48
Kepler-1686,5714.96,0.0775,1.02,1.19951,729.823,2020,Transit,Kepler,2380.36150388,2.02827e+30,834499107.0,1,solar,G,2025-10-29 17:25:48
Kepler-1262,5771.0,-0.02,0.99,0.98,1054.87,2016,Transit,Kepler,3440.5217971999996,1.968615e+30,681786000.0,1,sub-solar,G,2025-10-29 17:25:48
Kepler-1677,6013.72,0.108,1.11,1.24959,735.369,2020,Transit,Kepler,2398.45011564,2.207235e+30,869339763.0,1,solar,F,2025-10-29 17:25:48
Kepler-1071,5215.0,0.01,0.86,0.81,1042.27,2016,Transit,Kepler,3399.4261411999996,1.7101099999999998e+30,563517000.0,1,solar,G,2025-10-29 17:25:48
Kepler-378,4661.0,0.1369,0.78,0.671,152.094,2014,Transit,Kepler,496.06370663999996,1.55103e+30,466814700.0,2,solar,K,2025-10-29 17:25:48
Kepler-779,3804.0,-0.43,0.46,0.44,283.155,2016,Transit,Kepler,923.5270217999998,9.147100000000001e+29,306108000.0,1,sub-solar,M,2025-10-29 17:25:48
Kepler-1809,4901.0,0.04,0.807,0.716,409.602,2021,Transit,Kepler,1335.94149912,1.6047195000000002e+30,498121200.0,1,solar,K,2025-10-29 17:25:48
Kepler-1929,5786.0,-0.02,1.006,1.471,508.201,2021,Transit,Kepler,1657.52805356,2.000431e+30,1023374700.0,1,sub-solar,G,2025-10-29 17:25:48
Kepler-1081,5345.0,0.01,0.88,0.84,420.215,2016,Transit,Kepler,1370.5564353999998,1.74988e+30,584388000.0,1,solar,G,2025-10-29 17:25:48
Kepler-1476,5663.0,0.06,0.98,0.96,1002.74,2016,Transit,Kepler,3270.4966744,1.94873e+30,667872000.0,1,solar,G,2025-10-29 17:25:48
Kepler-883,6116.0,-0.13,1.06,1.09,627.455,2016,Transit,Kepler,2046.4821298,2.10781e+30,758313000.0,1,sub-solar,F,2025-10-29 17:25:48
Kepler-1220,5842.0,-0.04,1.0,0.99,961.907,2016,Transit,Kepler,3137.31739492,1.9885e+30,688743000.0,1,sub-solar,G,2025-10-29 17:25:48
Kepler-1284,5123.0,0.03,0.84,0.79,882.324,2016,Transit,Kepler,2877.75266544,1.6703399999999998e+30,549603000.0,1,solar,K,2025-10-29 17:25:48
Kepler-603,5808.0,0.03,1.01,1.01,1539.63,2016,Transit,Kepler,5021.5956228000005,2.008385e+30,702657000.0,3,solar,G,2025-10-29 17:25:48
Kepler-1425,5718.0,-0.03,0.97,0.95,863.873,2016,Transit,Kepler,2817.57362188,1.928845e+30,660915000.0,1,sub-solar,G,2025-10-29 17:25:48
Kepler-1214,5130.0,0.05,0.85,0.8,729.227,2016,Transit,Kepler,2378.4176141199996,1.6902249999999998e+30,556560000.0,1,solar,K,2025-10-29 17:25:48
Kepler-1051,6675.0,0.04,1.43,1.73,829.343,2016,Transit,Kepler,2704.9519550799996,2.843555e+30,1203561000.0,1,solar,F,2025-10-29 17:25:48
Kepler-649,5871.0,-0.17,0.97,0.94,513.748,2016,Transit,Kepler,1675.61992688,1.928845e+30,653958000.0,1,sub-solar,G,2025-10-29 17:25:48
