pl_name,hostname,disc_facility,discoverymethod,disc_year,st_teff,st_met,st_rotp,st_mass,st_rad,sy_pnum,sy_snum,sy_dist,survey
Kepler-262 c,Kepler-262,Kepler,Transit,2014,5841.0,-0.3382,,0.816,0.881,2,1,613.129,Kepler
Kepler-384 b,Kepler-384,Kepler,Transit,2014,5577.0,-0.29,,0.882,0.882,2,1,895.678,Kepler
Kepler-1221 b,Kepler-1221,Kepler,Transit,2016,5194.0,0.09,,0.87,0.82,1,1,913.65,Kepler
Kepler-1012 b,Kepler-1012,Kepler,Transit,2016,5556.0,0.05,,0.95,0.91,1,1,411.077,Kepler
Kepler-1249 b,Kepler-1249,Kepler,Transit,2016,6202.0,0.06,,1.19,1.28,1,1,1904.54,Kepler
Kepler-303 b,Kepler-303,Kepler,Transit,2014,3944.0,-0.4136,,0.575,0.485,2,1,209.738,Kepler
Kepler-255 c,Kepler-255,Kepler,Transit,2014,5573.0,0.3386,,0.867,0.933,3,1,1052.53,Kepler
Kepler-805 b,Kepler-805,Kepler,Transit,2016,6112.0,-0.06,,1.19,1.65,1,1,638.49,Kepler
Kepler-357 d,Kepler-357,Kepler,Transit,2014,5036.0,0.06,,0.794,0.834,3,1,688.573,Kepler
Kepler-1674 b,Kepler-1674,Kepler,Transit,2020,5473.91,0.0562,,0.96,0.877273,1,1,1012.48,Kepler
Kepler-363 b,Kepler-363,Kepler,Transit,2014,5593.0,0.3965,,1.226,1.485,3,1,762.596,Kepler
Kepler-1238 b,Kepler-1238,Kepler,Transit,2016,6386.0,0.05,,1.3,1.48,1,1,1632.13,Kepler
Kepler-1940 b,Kepler-1940,Kepler,Transit,2021,5431.0,-0.44,,0.802,0.717,1,1,798.595,Kepler
Kepler-114 d,Kepler-114,Kepler,Transit,2013,4660.0,0.2291,,0.56,0.54,3,1,259.533,Kepler
Kepler-264 c,Kepler-264,Kepler,Transit,2014,6158.0,0.0469,,1.426,1.55,2,1,942.173,Kepler
Kepler-1084 b,Kepler-1084,Kepler,Transit,2016,6113.0,-0.02,,1.12,1.28,1,1,405.533,Kepler
Kepler-1242 b,Kepler-1242,Kepler,Transit,2016,4895.0,-0.05,,0.77,0.74,1,1,687.615,Kepler
Kepler-1786 b,Kepler-1786,Kepler,Transit,2021,5808.0,0.14,,1.058,1.397,1,1,863.909,Kepler
Kepler-319 c,Kepler-319,Kepler,Transit,2014,5526.0,0.06,,0.933,0.903,3,1,503.436,Kepler
Kepler-85 d,Kepler-85,Kepler,Transit,2014,5436.0,0.12,,0.947,0.893,4,1,765.025,Kepler
Kepler-850 b,Kepler-850,Kepler,Transit,2016,5932.0,0.03,,1.06,1.09,1,1,1661.28,Kepler
Kepler-265 d,Kepler-265,Kepler,Transit,2014,5835.0,-0.11,,0.97,1.103,4,1,1280.25,Kepler
Kepler-1802 b,Kepler-1802,Kepler,Transit,2021,4245.0,0.0,,0.649,0.637,2,1,636.694,Kepler
Kepler-1962 b,Kepler-1962,Kepler,Transit,2021,5700.0,0.16,,1.003,1.006,1,1,866.826,Kepler
Kepler-1437 b,Kepler-1437,Kepler,Transit,2016,5557.0,-0.02,,0.93,0.9,1,1,2101.69,Kepler
Kepler-266 b,Kepler-266,Kepler,Transit,2014,5885.0,0.16,,0.947,1.028,2,1,1370.79,Kepler
Kepler-1099 b,Kepler-1099,Kepler,Transit,2016,5837.0,-0.02,,1.01,1.0,1,1,1022.8,Kepler
Kepler-87 b,Kepler-87,Kepler,Transit,2013,5600.0,-0.17,,1.1,1.82,2,1,1232.9,Kepler
Kepler-856 b,Kepler-856,Kepler,Transit,2016,5535.0,0.12,,0.96,0.93,1,1,1351.17,Kepler
Kepler-330 b,Kepler-330,Kepler,Transit,2014,5117.0,0.16,,0.848,0.722,2,1,717.527,Kepler
Kepler-226 c,Kepler-226,Kepler,Transit,2014,5571.0,0.09,,0.904,0.802,3,1,980.138,Kepler
Kepler-587 b,Kepler-587,Kepler,Transit,2016,5549.0,-0.05,,0.92,0.89,1,1,787.894,Kepler
Kepler-691 b,Kepler-691,Kepler,Transit,2016,3715.0,0.04,,0.53,0.5,1,1,279.115,Kepler
Kepler-154 d,Kepler-154,Kepler,Transit,2016,5769.0,-0.04,,0.98,0.98,5,1,915.212,Kepler
Kepler-279 e,Kepler-279,Kepler,Transit,2025,6689.45,-0.1141,,1.164,1.43,4,1,1037.4,Kepler
Kepler-1279 b,Kepler-1279,Kepler,Transit,2016,6221.0,0.06,,1.21,1.33,1,1,1494.22,Kepler
Kepler-1083 b,Kepler-1083,Kepler,Transit,2016,5049.0,-0.02,,0.81,0.77,1,1,902.633,Kepler
Kepler-79 d,Kepler-79,Kepler,Transit,2014,6174.0,-0.0731,,1.165,1.302,4,1,1020.72,Kepler
Kepler-215 b,Kepler-215,Kepler,Transit,2014,5739.0,-0.4425,,0.788,1.027,4,1,485.997,Kepler
Kepler-1172 b,Kepler-1172,Kepler,Transit,2016,5558.0,-0.04,,0.92,0.89,1,1,1306.53,Kepler
