pl_name,hostname,disc_facility,discoverymethod,disc_year,st_teff,st_met,st_rotp,st_mass,st_rad,sy_pnum,sy_snum,sy_dist,survey
TOI-4465 b,TOI-4465,Transiting Exoplanet Survey Satellite (TESS),Transit,2025,5545.0,-0.06,,0.93,1.014,1,1,121.139,TESS
TOI-6255 b,TOI-6255,Transiting Exoplanet Survey Satellite (TESS),Transit,2024,3421.0,-0.14,,0.353,0.37,1,1,20.3167,TESS
TOI-157 b,TOI-157,Transiting Exoplanet Survey Satellite (TESS),Transit,2020,5404.0,0.24,,0.948,1.167,1,1,355.683,TESS
TOI-2274 b,TOI-2274,Transiting Exoplanet Survey Satellite (TESS),Transit,2024,3943.0,,,0.612,0.631,1,1,48.876,TESS
TOI-942 b,TOI-942,Transiting Exoplanet Survey Satellite (TESS),Transit,2020,4969.0,-0.221,3.39,0.822,0.894,2,1,152.601,TESS
TOI-880.02,TOI-880,Transiting Exoplanet Survey Satellite (TESS),Transit,2024,5050.0,0.23,,0.87,0.83,2,1,60.6679,TESS
TOI-4010 b,TOI-4010,Transiting Exoplanet Survey Satellite (TESS),Transit,2023,4960.0,0.37,37.7,0.88,0.83,4,1,177.504,TESS
TOI-1416 b,TOI-1416,Transiting Exoplanet Survey Satellite (TESS),Transit,2023,4884.0,0.08,17.6,0.798,0.793,1,1,55.0135,TESS
TOI-530 b,TOI-530,Transiting Exoplanet Survey Satellite (TESS),Transit,2021,3659.0,0.376,,0.53,0.54,1,1,148.762,TESS
HD 191939 b,HD 191939,Transiting Exoplanet Survey Satellite (TESS),Transit,2020,5348.0,-0.15,,0.81,0.94,6,1,53.6089,TESS
TOI-1107 b,TOI-1107,Transiting Exoplanet Survey Satellite (TESS),Transit,2022,6311.0,-0.1,6.2,1.35,1.81,1,1,281.314,TESS
TOI-6330 b,TOI-6330,Transiting Exoplanet Survey Satellite (TESS),Transit,2025,3539.0,0.08,36.0,0.531,0.49,1,1,139.042,TESS
LHS 1678 b,LHS 1678,Transiting Exoplanet Survey Satellite (TESS),Transit,2021,3490.0,,64.0,0.345,0.329,3,2,19.8782,TESS
HD 18599 b,HD 18599,Transiting Exoplanet Survey Satellite (TESS),Transit,2022,5145.0,0.0,8.73,0.863,0.767,1,2,38.5653,TESS
HD 73583 b,HD 73583,Transiting Exoplanet Survey Satellite (TESS),Transit,2022,4511.0,0.0,12.2,0.73,0.65,2,1,31.5666,TESS
TOI-5218 b,TOI-5218,Transiting Exoplanet Survey Satellite (TESS),Transit,2024,4230.0,0.41,,0.739,0.708,1,1,377.483,TESS
TOI-1751 b,TOI-1751,Transiting Exoplanet Survey Satellite (TESS),Transit,2024,5970.0,-0.373,,0.9382,1.3137,1,1,113.335,TESS
TOI-1273 b,TOI-1273,Transiting Exoplanet Survey Satellite (TESS),Transit,2024,5690.0,0.07,42.0,1.06,1.06,1,1,177.118,TESS
TOI-4364 b,TOI-4364,Transiting Exoplanet Survey Satellite (TESS),Transit,2025,3528.0,0.148,10.57,0.487,0.4684,1,1,43.9662,TESS
TOI-4487 A b,TOI-4487 A,Transiting Exoplanet Survey Satellite (TESS),Transit,2025,6206.0,0.216,,1.378,1.634,1,2,479.145,TESS
TOI-2981 b,TOI-2981,Transiting Exoplanet Survey Satellite (TESS),Transit,2024,5940.0,-0.11,18.3,1.03,1.08,1,1,527.789,TESS
HD 63935 b,HD 63935,Transiting Exoplanet Survey Satellite (TESS),Transit,2021,5513.0,0.107,,0.9406,0.9598,2,1,48.9739,TESS
TOI-6002 b,TOI-6002,Transiting Exoplanet Survey Satellite (TESS),Transit,2024,3229.0,-0.18,,0.2101,0.2432,1,1,32.0266,TESS
TOI-1260 c,TOI-1260,Transiting Exoplanet Survey Satellite (TESS),Transit,2021,4227.0,-0.1,30.63,0.679,0.672,3,1,73.5977,TESS
TOI-3235 b,TOI-3235,Transiting Exoplanet Survey Satellite (TESS),Transit,2023,3388.8,0.264,,0.3939,0.3697,1,1,72.811,TESS
TOI-181 b,TOI-181,Transiting Exoplanet Survey Satellite (TESS),Transit,2023,4994.0,0.272,,0.822,0.745,1,1,96.2338,TESS
TOI-251 b,TOI-251,Transiting Exoplanet Survey Satellite (TESS),Transit,2021,5875.0,-0.106,3.84,1.036,0.881,1,1,99.523,TESS
TOI-1244 b,TOI-1244,Transiting Exoplanet Survey Satellite (TESS),Transit,2024,4599.0,0.034,,0.73,0.721,1,1,102.551,TESS
TOI-1478 b,TOI-1478,Transiting Exoplanet Survey Satellite (TESS),Transit,2021,5597.0,0.078,,0.947,1.048,1,1,152.892,TESS
TOI-1294 b,TOI-1294,Transiting Exoplanet Survey Satellite (TESS),Transit,2024,5718.0,0.283,,1.1578,1.5566,2,1,332.648,TESS
TOI-1801 b,TOI-1801,Transiting Exoplanet Survey Satellite (TESS),Transit,2023,3863.0,-0.19,15.98,0.556,0.547,1,2,30.6796,TESS
TOI-762 A b,TOI-762 A,Transiting Exoplanet Survey Satellite (TESS),Transit,2024,3266.0,0.357,,0.442,0.425,1,2,98.4458,TESS
TOI-178 e,TOI-178,Transiting Exoplanet Survey Satellite (TESS),Transit,2021,4316.0,-0.23,,0.65,0.651,6,1,62.699,TESS
TOI-5108 b,TOI-5108,Transiting Exoplanet Survey Satellite (TESS),Transit,2025,5808.0,0.2,,1.1,1.29,1,1,130.919,TESS
TOI-1742 b,TOI-1742,Transiting Exoplanet Survey Satellite (TESS),Transit,2024,5815.0,0.193,,1.0861,1.131,1,1,72.8871,TESS
TOI-4914 b,TOI-4914,Transiting Exoplanet Survey Satellite (TESS),Transit,2024,5805.0,-0.13,25.7,1.03,1.0,1,1,299.89,TESS
TOI-2295 b,TOI-2295,Transiting Exoplanet Survey Satellite (TESS),Transit,2024,5730.0,0.316,78.0,1.168,1.459,2,1,126.279,TESS
TOI-1295 b,TOI-1295,Transiting Exoplanet Survey Satellite (TESS),Transit,2024,6280.0,0.26,11.0,1.38,1.7,1,1,388.227,TESS
IRAS 04125+2902 b,IRAS 04125+2902,Transiting Exoplanet Survey Satellite (TESS),Transit,2024,4080.0,,11.31,0.7,1.45,1,2,159.244,TESS
HD 108236 e,HD 108236,Transiting Exoplanet Survey Satellite (TESS),Transit,2020,5660.0,-0.28,,0.869,0.877,5,1,64.5978,TESS
TOI-2184 b,TOI-2184,Transiting Exoplanet Survey Satellite (TESS),Transit,2022,5966.0,0.14,,1.53,2.9,1,1,788.317,TESS
TOI-5817 b,TOI-5817,Transiting Exoplanet Survey Satellite (TESS),Transit,2025,5770.0,-0.24,,0.97,1.427,1,2,80.7542,TESS
TOI-2018 b,TOI-2018,Transiting Exoplanet Survey Satellite (TESS),Transit,2023,4174.0,-0.58,23.5,0.57,0.62,1,1,27.9956,TESS
TOI-669 b,TOI-669,Transiting Exoplanet Survey Satellite (TESS),Transit,2023,5597.0,0.001,,0.9245,0.9882,1,1,142.867,TESS
TOI-4438 b,TOI-4438,Transiting Exoplanet Survey Satellite (TESS),Transit,2024,3422.0,-0.19,68.0,0.368,0.372,1,1,30.0346,TESS
TOI-4559 b,TOI-4559,Transiting Exoplanet Survey Satellite (TESS),Transit,2024,3558.0,-0.09,,0.392,0.374,1,1,31.6354,TESS
TOI-3912 b,TOI-3912,Transiting Exoplanet Survey Satellite (TESS),Transit,2023,5725.0,0.187,,1.088,1.392,1,1,465.992,TESS
TOI-199 b,TOI-199,Transiting Exoplanet Survey Satellite (TESS),Transit,2023,5255.0,0.22,,0.936,0.82,2,1,102.27,TESS
TOI-700 c,TOI-700,Transiting Exoplanet Survey Satellite (TESS),Transit,2020,3459.0,-0.07,54.0,0.415,0.421,4,1,31.1265,TESS
TOI-771 b,TOI-771,Transiting Exoplanet Survey Satellite (TESS),Transit,2024,3370.0,-0.13,98.0,0.22,0.232,2,1,25.2788,TESS
TOI-2421 b,TOI-2421,Transiting Exoplanet Survey Satellite (TESS),Transit,2022,5607.0,0.19,,1.131,1.75,1,1,327.927,TESS
TOI-3894 b,TOI-3894,Transiting Exoplanet Survey Satellite (TESS),Transit,2024,6000.0,0.021,,1.138,1.502,1,1,417.365,TESS
HD 77946 b,HD 77946,Transiting Exoplanet Survey Satellite (TESS),Transit,2024,6007.0,0.215,13.56,1.1973,1.3174,1,1,99.451,TESS
LHS 1478 b,LHS 1478,Transiting Exoplanet Survey Satellite (TESS),Transit,2021,3381.0,-0.13,,0.236,0.246,1,1,18.2276,TESS
TOI-5143 c,TOI-5143,Transiting Exoplanet Survey Satellite (TESS),Transit,2025,5183.0,0.107,,0.864,0.852,1,1,181.38,TESS
TOI-1136 c,TOI-1136,Transiting Exoplanet Survey Satellite (TESS),Transit,2022,5770.0,0.07,,1.022,0.968,6,1,84.5362,TESS
TOI-1249 b,TOI-1249,Transiting Exoplanet Survey Satellite (TESS),Transit,2024,5497.0,0.297,,1.0062,0.9785,1,1,139.49,TESS
HD 15337 b,HD 15337,Transiting Exoplanet Survey Satellite (TESS),Transit,2019,5131.0,0.03,36.528,0.829,0.855,2,1,44.8155,TESS
