hostname,st_teff,st_met,st_mass,st_rad,sy_dist,disc_year,discoverymethod,mission,sy_dist_ly,st_mass_kg,st_rad_m,planet_count,metallicity_class,spectral_type,last_updated,st_teff_norm,st_met_norm,st_mass_norm,st_rad_norm,planet_occurrence_class
Kepler-1955,5825.0,0.14,1.049,1.291,449.351,2021,Transit,Kepler,1465.58524756,2.0859364999999997e+30,898148700.0,1,solar,G,2025-10-29 17:25:48,0.33375515381572146,0.7466558741452535,0.4383819542989693,0.6468893051243173,single
Kepler-537,5763.0,0.23,1.07,0.99,439.4,2016,Transit,Kepler,1433.129464,2.127695e+30,688743000.0,1,solar,G,2025-10-29 17:25:48,0.27719587464456924,1.3078608807297152,0.5253530234423044,-0.060701179916620336,single
Kepler-1968,5008.0,0.18,0.844,0.788,750.93,2021,Transit,Kepler,2449.2032508,1.678294e+30,548211600.0,1,solar,K,2025-10-29 17:25:48,-0.411550186229946,0.9960803215161252,-0.41062133971929676,-0.5355625685487446,single
Kepler-322,5388.0,0.12,0.908,0.89,400.48,2014,Transit,Kepler,1306.1895488,1.805558e+30,619173000.0,2,solar,G,2025-10-29 17:25:48,-0.06489653969707741,0.6219436504598175,-0.14556665280627681,-0.2957810752790581,few
Kepler-601,5160.0,-0.02,0.85,0.79,414.825,2016,Transit,Kepler,1352.9766269999998,1.6902249999999998e+30,549603000.0,1,sub-solar,K,2025-10-29 17:25:48,-0.27288872761679855,-0.25104191533823406,-0.38577246282120115,-0.5308609706414958,single
Kepler-1684,4706.54,0.1267,0.75,0.666755,621.996,2020,Transit,Kepler,2028.67727376,1.491375e+30,463861453.5,1,solar,K,2025-10-29 17:25:48,-0.6865559975031001,0.6637222453944386,-0.7999204111227943,-0.8205851876809325,single
Kepler-781,5162.0,-0.1,0.81,0.78,1064.47,2016,Transit,Kepler,3471.8327732,1.610685e+30,542646000.0,1,sub-solar,K,2025-10-29 17:25:48,-0.2710642347403098,-0.7498908100799778,-0.5514316421418382,-0.5543689601777396,single
Kepler-171,5642.0,0.17,0.978,0.839,863.855,2014,Transit,Kepler,2817.5149138,1.944753e+30,583692300.0,3,solar,G,2025-10-29 17:25:48,0.1668140556169979,0.9337242096734074,0.14433691100483828,-0.4156718219139015,few
Kepler-1021,5431.0,-0.05,0.89,0.86,810.082,2016,Transit,Kepler,2642.13104792,1.7697649999999999e+30,598302000.0,1,sub-solar,G,2025-10-29 17:25:48,-0.0256699428525686,-0.43811025086638794,-0.22011328350056367,-0.3663050438877895,single
Kepler-1399,5735.0,-0.03,0.97,0.96,1385.7,2016,Transit,Kepler,4519.543692,1.928845e+30,667872000.0,1,sub-solar,G,2025-10-29 17:25:48,0.2516529743737263,-0.313398027180952,0.11120507514071079,-0.13122514852535175,single
